# file created by code in security_q.jl
# file created on 2024-08-15 at 12:29:35
# parameter: seed = 1
# parameter: T = 10000.0
# parameter: n_queues = 1
# parameter: mean_interarrival = 5.2
# parameter: mean_server_time = 5.0
# parameter: time_units = minutes
time,event_id,event_type,timing,length_event_list,length_queue1,in_service1
     411.294,   212,  Arrival,before,   1,  17,   1
     411.294,   212,  Arrival, after,   2,  18,   1
     416.109,   213,  Arrival,before,   1,  18,   1
     416.109,   213,  Arrival, after,   2,  19,   1
     433.328,   210,Finish(1),before,   1,  19,   1
     433.328,   210,Finish(1), after,   2,  18,   1
     433.347,   214,  Arrival,before,   1,  18,   1
     433.347,   214,  Arrival, after,   2,  19,   1
     434.922,   217,  Arrival,before,   1,  19,   1
     434.922,   217,  Arrival, after,   2,  20,   1
     441.629,   216,Finish(1),before,   1,  20,   1
     441.629,   216,Finish(1), after,   2,  19,   1
     445.833,   218,  Arrival,before,   1,  19,   1
     445.833,   218,  Arrival, after,   2,  20,   1
     447.982,   221,  Arrival,before,   1,  20,   1
     447.982,   221,  Arrival, after,   2,  21,   1
     455.837,   220,Finish(1),before,   1,  21,   1
     455.837,   220,Finish(1), after,   2,  20,   1
     457.518,   224,Finish(1),before,   1,  20,   1
     457.518,   224,Finish(1), after,   2,  19,   1
     458.186,   222,  Arrival,before,   1,  19,   1
     458.186,   222,  Arrival, after,   2,  20,   1
     458.416,   226,Finish(1),before,   1,  20,   1
     458.416,   226,Finish(1), after,   2,  19,   1
     459.821,   227,  Arrival,before,   1,  19,   1
     459.821,   227,  Arrival, after,   2,  20,   1
     459.983,   229,Finish(1),before,   1,  20,   1
     459.983,   229,Finish(1), after,   2,  19,   1
     462.945,   230,  Arrival,before,   1,  19,   1
     462.945,   230,  Arrival, after,   2,  20,   1
     464.036,   232,Finish(1),before,   1,  20,   1
     464.036,   232,Finish(1), after,   2,  19,   1
     466.255,   235,Finish(1),before,   1,  19,   1
     466.255,   235,Finish(1), after,   2,  18,   1
     468.172,   233,  Arrival,before,   1,  18,   1
     468.172,   233,  Arrival, after,   2,  19,   1
     472.007,   237,Finish(1),before,   1,  19,   1
     472.007,   237,Finish(1), after,   2,  18,   1
     475.719,   240,Finish(1),before,   1,  18,   1
     475.719,   240,Finish(1), after,   2,  17,   1
     479.589,   242,Finish(1),before,   1,  17,   1
     479.589,   242,Finish(1), after,   2,  16,   1
     482.294,   244,Finish(1),before,   1,  16,   1
     482.294,   244,Finish(1), after,   2,  15,   1
     483.827,   246,Finish(1),before,   1,  15,   1
     483.827,   246,Finish(1), after,   2,  14,   1
     484.087,   238,  Arrival,before,   1,  14,   1
     484.087,   238,  Arrival, after,   2,  15,   1
     486.415,   249,  Arrival,before,   1,  15,   1
     486.415,   249,  Arrival, after,   2,  16,   1
     488.785,   248,Finish(1),before,   1,  16,   1
     488.785,   248,Finish(1), after,   2,  15,   1
     490.079,   250,  Arrival,before,   1,  15,   1
     490.079,   250,  Arrival, after,   2,  16,   1
     494.054,   252,Finish(1),before,   1,  16,   1
     494.054,   252,Finish(1), after,   2,  15,   1
     495.694,   253,  Arrival,before,   1,  15,   1
     495.694,   253,  Arrival, after,   2,  16,   1
     495.697,   256,  Arrival,before,   1,  16,   1
     495.697,   256,  Arrival, after,   2,  17,   1
     497.074,   255,Finish(1),before,   1,  17,   1
     497.074,   255,Finish(1), after,   2,  16,   1
     498.315,   257,  Arrival,before,   1,  16,   1
     498.315,   257,  Arrival, after,   2,  17,   1
     499.565,   259,Finish(1),before,   1,  17,   1
     499.565,   259,Finish(1), after,   2,  16,   1
     499.736,   260,  Arrival,before,   1,  16,   1
     499.736,   260,  Arrival, after,   2,  17,   1
     499.900,   263,  Arrival,before,   1,  17,   1
     499.900,   263,  Arrival, after,   2,  18,   1
     511.061,   264,  Arrival,before,   1,  18,   1
     511.061,   264,  Arrival, after,   2,  19,   1
     518.889,   265,  Arrival,before,   1,  19,   1
     518.889,   265,  Arrival, after,   2,  20,   1
     522.252,   262,Finish(1),before,   1,  20,   1
     522.252,   262,Finish(1), after,   2,  19,   1
     525.340,   266,  Arrival,before,   1,  19,   1
     525.340,   266,  Arrival, after,   2,  20,   1
     528.191,   269,  Arrival,before,   1,  20,   1
     528.191,   269,  Arrival, after,   2,  21,   1
     528.986,   268,Finish(1),before,   1,  21,   1
     528.986,   268,Finish(1), after,   2,  20,   1
     532.769,   270,  Arrival,before,   1,  20,   1
     532.769,   270,  Arrival, after,   2,  21,   1
     533.433,   272,Finish(1),before,   1,  21,   1
     533.433,   272,Finish(1), after,   2,  20,   1
     540.933,   275,Finish(1),before,   1,  20,   1
     540.933,   275,Finish(1), after,   2,  19,   1
     542.569,   273,  Arrival,before,   1,  19,   1
     542.569,   273,  Arrival, after,   2,  20,   1
     544.039,   278,  Arrival,before,   1,  20,   1
     544.039,   278,  Arrival, after,   2,  21,   1
     544.339,   279,  Arrival,before,   1,  21,   1
     544.339,   279,  Arrival, after,   2,  22,   1
     544.611,   277,Finish(1),before,   1,  22,   1
     544.611,   277,Finish(1), after,   2,  21,   1
     545.655,   282,Finish(1),before,   1,  21,   1
     545.655,   282,Finish(1), after,   2,  20,   1
     549.033,   280,  Arrival,before,   1,  20,   1
     549.033,   280,  Arrival, after,   2,  21,   1
     549.815,   284,Finish(1),before,   1,  21,   1
     549.815,   284,Finish(1), after,   2,  20,   1
     552.443,   287,Finish(1),before,   1,  20,   1
     552.443,   287,Finish(1), after,   2,  19,   1
     552.835,   285,  Arrival,before,   1,  19,   1
     552.835,   285,  Arrival, after,   2,  20,   1
     552.902,   290,  Arrival,before,   1,  20,   1
     552.902,   290,  Arrival, after,   2,  21,   1
     566.850,   289,Finish(1),before,   1,  21,   1
     566.850,   289,Finish(1), after,   2,  20,   1
     567.931,   291,  Arrival,before,   1,  20,   1
     567.931,   291,  Arrival, after,   2,  21,   1
     573.131,   294,  Arrival,before,   1,  21,   1
     573.131,   294,  Arrival, after,   2,  22,   1
     573.933,   295,  Arrival,before,   1,  22,   1
     573.933,   295,  Arrival, after,   2,  23,   1
     575.829,   296,  Arrival,before,   1,  23,   1
     575.829,   296,  Arrival, after,   2,  24,   1
     576.157,   293,Finish(1),before,   1,  24,   1
     576.157,   293,Finish(1), after,   2,  23,   1
     576.550,   299,Finish(1),before,   1,  23,   1
     576.550,   299,Finish(1), after,   2,  22,   1
     583.382,   301,Finish(1),before,   1,  22,   1
     583.382,   301,Finish(1), after,   2,  21,   1
     590.014,   303,Finish(1),before,   1,  21,   1
     590.014,   303,Finish(1), after,   2,  20,   1
     590.741,   297,  Arrival,before,   1,  20,   1
     590.741,   297,  Arrival, after,   2,  21,   1
     592.792,   305,Finish(1),before,   1,  21,   1
     592.792,   305,Finish(1), after,   2,  20,   1
     594.147,   306,  Arrival,before,   1,  20,   1
     594.147,   306,  Arrival, after,   2,  21,   1
     595.829,   309,  Arrival,before,   1,  21,   1
     595.829,   309,  Arrival, after,   2,  22,   1
     600.889,   310,  Arrival,before,   1,  22,   1
     600.889,   310,  Arrival, after,   2,  23,   1
     605.048,   311,  Arrival,before,   1,  23,   1
     605.048,   311,  Arrival, after,   2,  24,   1
     608.511,   308,Finish(1),before,   1,  24,   1
     608.511,   308,Finish(1), after,   2,  23,   1
     613.190,   312,  Arrival,before,   1,  23,   1
     613.190,   312,  Arrival, after,   2,  24,   1
     616.267,   315,  Arrival,before,   1,  24,   1
     616.267,   315,  Arrival, after,   2,  25,   1
     619.218,   314,Finish(1),before,   1,  25,   1
     619.218,   314,Finish(1), after,   2,  24,   1
     620.240,   318,Finish(1),before,   1,  24,   1
     620.240,   318,Finish(1), after,   2,  23,   1
     620.428,   316,  Arrival,before,   1,  23,   1
     620.428,   316,  Arrival, after,   2,  24,   1
     621.287,   321,  Arrival,before,   1,  24,   1
     621.287,   321,  Arrival, after,   2,  25,   1
     624.391,   320,Finish(1),before,   1,  25,   1
     624.391,   320,Finish(1), after,   2,  24,   1
     625.449,   324,Finish(1),before,   1,  24,   1
     625.449,   324,Finish(1), after,   2,  23,   1
     631.404,   322,  Arrival,before,   1,  23,   1
     631.404,   322,  Arrival, after,   2,  24,   1
     631.743,   327,  Arrival,before,   1,  24,   1
     631.743,   327,  Arrival, after,   2,  25,   1
     639.220,   326,Finish(1),before,   1,  25,   1
     639.220,   326,Finish(1), after,   2,  24,   1
     644.449,   328,  Arrival,before,   1,  24,   1
     644.449,   328,  Arrival, after,   2,  25,   1
     646.377,   330,Finish(1),before,   1,  25,   1
     646.377,   330,Finish(1), after,   2,  24,   1
     647.527,   333,Finish(1),before,   1,  24,   1
