# file created by code in factory_simulation_2.jl
# file created on 2024-10-10 at 12:37:59
# parameter: seed = 1
# parameter: T = 10000.0
# parameter: mean_interarrival = 60.0
# parameter: mean_machine_times = [25.0, 59.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = minutes
id,arrival_time,start_service_times,start_service_times,completion_time
43,2300.0181682575103,2520.1795079687827,2690.7689913041204,2730.8320762407943
44,2589.612264873602,2589.612264873602,2730.8320762407943,2739.7856898078835
45,2637.0653619259233,2637.0653619259233,2739.7856898078835,2859.620953784779
46,2749.488966867326,2749.488966867326,2859.620953784779,2887.534081331838
47,2767.9752344019594,2774.488966867326,2887.534081331838,3041.651804342034
48,2841.632879881062,2841.632879881062,3041.651804342034,3139.148595319398
49,2997.428777296111,2997.428777296111,3139.148595319398,3200.7392814871146
50,3083.2182569944557,3083.2182569944557,3200.7392814871146,3335.591942358272
51,3168.2961492213212,3168.2961492213212,3335.591942358272,3431.1023440235203
52,3248.0409536277793,3248.0409536277793,3431.1023440235203,3447.6514246485094
53,3250.5729897369624,3273.0409536277793,3447.6514246485094,3765.330567551571
54,3299.1266627700425,3299.1266627700425,3765.330567551571,3778.9840196319838
55,3329.8963992440545,3329.8963992440545,3778.9840196319838,3811.9764100853217
56,3356.4108989058113,3356.4108989058113,3811.9764100853217,3932.6757104732383
57,3367.6767338323534,3431.1023440235203,3932.6757104732383,3962.707847955348
58,3379.965447055888,3456.1023440235203,3962.707847955348,4020.6829122169356
59,3404.073010504977,3765.330567551571,4020.6829122169356,4055.2873460148226
60,3405.4413138278887,3790.330567551571,4055.2873460148226,4128.010584151071
61,3434.4810305940982,3815.330567551571,4128.010584151071,4218.199830055825
62,3607.353113397877,3932.6757104732383,4218.199830055825,4264.895959736643
63,3616.7047484804093,3962.707847955348,4264.895959736643,4278.80575075561
64,3796.381203328251,4020.6829122169356,4278.80575075561,4319.6698681295275
65,3812.615536317844,4055.2873460148226,4319.6698681295275,4380.924444447228
66,3867.332910810158,4128.010584151071,4380.924444447228,4426.0140282469165
67,3897.5111784130722,4218.199830055825,4426.0140282469165,4558.6778267976315
68,3903.320369144837,4264.895959736643,4558.6778267976315,4609.045756683613
69,3914.1867310445923,4289.895959736643,4609.045756683613,4643.086231891486
70,3932.3892318852504,4319.6698681295275,4643.086231891486,4643.973125737514
71,4279.842853503671,4380.924444447228,4643.973125737514,4698.611766450178
72,4292.156511643759,4426.0140282469165,4698.611766450178,4894.195013647198
73,4340.23095651153,4558.6778267976315,4894.195013647198,4992.14839829332
74,4452.684904083776,4609.045756683613,4992.14839829332,5159.807297524649
75,4461.314813968271,4643.086231891486,5159.807297524649,5179.637981925613
76,4465.843172287521,4668.086231891486,5179.637981925613,5190.236394480497
77,4603.24544549295,4698.611766450178,5190.236394480497,5208.786046436392
78,4910.340668642162,4910.340668642162,5208.786046436392,5244.228032606648
79,4928.517754381794,4992.14839829332,5244.228032606648,5303.5360781533645
80,5054.410351903941,5159.807297524649,5303.5360781533645,5484.114808279382
81,5079.211693713717,5184.807297524649,5484.114808279382,5542.625605662864
82,5196.9474517005165,5209.807297524649,5542.625605662864,5604.798119583994
83,5215.757989098979,5234.807297524649,5604.798119583994,5640.43807283768
84,5264.384962879687,5264.384962879687,5640.43807283768,5669.832022699474
85,5291.021860941613,5303.5360781533645,5669.832022699474,5937.534062200583
86,5360.039157528079,5484.114808279382,5937.534062200583,6017.000700182965
87,5404.582940333459,5542.625605662864,6017.000700182965,6069.463927949734
88,5451.030790167126,5604.798119583994,6069.463927949734,6157.971434764809
89,5483.483305898644,5640.43807283768,6157.971434764809,6201.368687556494
90,5501.877656088292,5669.832022699474,6201.368687556494,6213.686773429434
91,5528.73662637386,5937.534062200583,6213.686773429434,6262.78069625556
