# file created by code in security_q.jl
# file created on 2024-08-15 at 12:29:22
# parameter: seed = 1
# parameter: T = 10000.0
# parameter: n_queues = 2
# parameter: mean_interarrival = 5.2
# parameter: mean_server_time = 10.0
# parameter: time_units = minutes
time,event_id,event_type,timing,length_event_list,length_queue1,in_service1,length_queue2,in_service2
     283.461,   147,  Arrival, after,   3,   1,   1,   1,   1
     287.122,   144,Finish(2),before,   2,   1,   1,   1,   1
     287.122,   144,Finish(2), after,   3,   1,   1,   0,   1
     290.372,   148,  Arrival,before,   2,   1,   1,   0,   1
     290.372,   148,  Arrival, after,   3,   1,   1,   1,   1
     290.591,   151,  Arrival,before,   2,   1,   1,   1,   1
     290.591,   151,  Arrival, after,   3,   2,   1,   1,   1
     290.776,   146,Finish(1),before,   2,   2,   1,   1,   1
     290.776,   146,Finish(1), after,   3,   1,   1,   1,   1
     294.799,   152,  Arrival,before,   2,   1,   1,   1,   1
     294.799,   152,  Arrival, after,   3,   2,   1,   1,   1
     295.904,   154,Finish(1),before,   2,   2,   1,   1,   1
     295.904,   154,Finish(1), after,   3,   1,   1,   1,   1
     297.097,   155,  Arrival,before,   2,   1,   1,   1,   1
     297.097,   155,  Arrival, after,   3,   2,   1,   1,   1
     298.074,   158,  Arrival,before,   2,   2,   1,   1,   1
     298.074,   158,  Arrival, after,   3,   2,   1,   2,   1
     299.139,   159,  Arrival,before,   2,   2,   1,   2,   1
     299.139,   159,  Arrival, after,   3,   3,   1,   2,   1
     301.228,   160,  Arrival,before,   2,   3,   1,   2,   1
     301.228,   160,  Arrival, after,   3,   3,   1,   3,   1
     301.347,   161,  Arrival,before,   2,   3,   1,   3,   1
     301.347,   161,  Arrival, after,   3,   4,   1,   3,   1
     303.863,   162,  Arrival,before,   2,   4,   1,   3,   1
     303.863,   162,  Arrival, after,   3,   4,   1,   4,   1
     305.322,   163,  Arrival,before,   2,   4,   1,   4,   1
     305.322,   163,  Arrival, after,   3,   5,   1,   4,   1
     309.979,   150,Finish(2),before,   2,   5,   1,   4,   1
     309.979,   150,Finish(2), after,   3,   5,   1,   3,   1
     312.092,   157,Finish(1),before,   2,   5,   1,   3,   1
     312.092,   157,Finish(1), after,   3,   4,   1,   3,   1
     313.651,   168,Finish(1),before,   2,   4,   1,   3,   1
     313.651,   168,Finish(1), after,   3,   3,   1,   3,   1
     320.304,   164,  Arrival,before,   2,   3,   1,   3,   1
     320.304,   164,  Arrival, after,   3,   4,   1,   3,   1
     321.508,   171,  Arrival,before,   2,   4,   1,   3,   1
     321.508,   171,  Arrival, after,   3,   4,   1,   4,   1
     324.415,   172,  Arrival,before,   2,   4,   1,   4,   1
     324.415,   172,  Arrival, after,   3,   5,   1,   4,   1
     325.822,   173,  Arrival,before,   2,   5,   1,   4,   1
     325.822,   173,  Arrival, after,   3,   5,   1,   5,   1
     336.460,   174,  Arrival,before,   2,   5,   1,   5,   1
     336.460,   174,  Arrival, after,   3,   6,   1,   5,   1
     341.202,   175,  Arrival,before,   2,   6,   1,   5,   1
     341.202,   175,  Arrival, after,   3,   6,   1,   6,   1
     343.597,   170,Finish(1),before,   2,   6,   1,   6,   1
     343.597,   170,Finish(1), after,   3,   5,   1,   6,   1
     343.818,   176,  Arrival,before,   2,   5,   1,   6,   1
     343.818,   176,  Arrival, after,   3,   6,   1,   6,   1
     344.565,   178,Finish(1),before,   2,   6,   1,   6,   1
     344.565,   178,Finish(1), after,   3,   5,   1,   6,   1
     344.760,   179,  Arrival,before,   2,   5,   1,   6,   1
     344.760,   179,  Arrival, after,   3,   6,   1,   6,   1
     347.599,   181,Finish(1),before,   2,   6,   1,   6,   1
     347.599,   181,Finish(1), after,   3,   5,   1,   6,   1
     352.689,   184,Finish(1),before,   2,   5,   1,   6,   1
     352.689,   184,Finish(1), after,   3,   4,   1,   6,   1
     362.516,   186,Finish(1),before,   2,   4,   1,   6,   1
     362.516,   186,Finish(1), after,   3,   3,   1,   6,   1
     363.822,   166,Finish(2),before,   2,   3,   1,   6,   1
     363.822,   166,Finish(2), after,   3,   3,   1,   5,   1
     368.381,   188,Finish(1),before,   2,   3,   1,   5,   1
     368.381,   188,Finish(1), after,   3,   2,   1,   5,   1
     374.872,   182,  Arrival,before,   2,   2,   1,   5,   1
     374.872,   182,  Arrival, after,   3,   3,   1,   5,   1
     376.148,   190,Finish(2),before,   2,   3,   1,   5,   1
     376.148,   190,Finish(2), after,   3,   3,   1,   4,   1
     378.506,   195,Finish(2),before,   2,   3,   1,   4,   1
     378.506,   195,Finish(2), after,   3,   3,   1,   3,   1
     378.988,   193,  Arrival,before,   2,   3,   1,   3,   1
     378.988,   193,  Arrival, after,   3,   4,   1,   3,   1
     380.055,   198,  Arrival,before,   2,   4,   1,   3,   1
     380.055,   198,  Arrival, after,   3,   4,   1,   4,   1
     383.667,   192,Finish(1),before,   2,   4,   1,   4,   1
     383.667,   192,Finish(1), after,   3,   3,   1,   4,   1
     384.221,   199,  Arrival,before,   2,   3,   1,   4,   1
     384.221,   199,  Arrival, after,   3,   4,   1,   4,   1
     385.432,   197,Finish(2),before,   2,   4,   1,   4,   1
     385.432,   197,Finish(2), after,   3,   4,   1,   3,   1
     393.074,   204,Finish(2),before,   2,   4,   1,   3,   1
     393.074,   204,Finish(2), after,   3,   4,   1,   2,   1
     393.967,   202,  Arrival,before,   2,   4,   1,   2,   1
     393.967,   202,  Arrival, after,   3,   4,   1,   3,   1
     394.049,   201,Finish(1),before,   2,   4,   1,   3,   1
     394.049,   201,Finish(1), after,   3,   3,   1,   3,   1
     394.715,   207,  Arrival,before,   2,   3,   1,   3,   1
     394.715,   207,  Arrival, after,   3,   4,   1,   3,   1
     394.804,   209,Finish(1),before,   2,   4,   1,   3,   1
     394.804,   209,Finish(1), after,   3,   3,   1,   3,   1
     403.341,   212,Finish(1),before,   2,   3,   1,   3,   1
     403.341,   212,Finish(1), after,   3,   2,   1,   3,   1
